date,mountain,max,min,rainfall,visitors,avg_visitors_over_next_week
2014-05-09,Perisher,7.2,-6.0,0.0,1052.857142857143,1052.857142857143
2014-05-09,Thredbo,4.8,-4.6,0.0,790.7142857142857,790.7142857142857
2014-05-09,Mt. Buller,4.8,-0.4,0.0,1185.142857142857,1185.142857142857
2014-05-09,Falls Creek,5.2,0.7,0.0,398.57142857142856,398.57142857142856
2014-05-09,Mt. Hotham,4.3,-0.4,0.0,497.57142857142856,497.57142857142856
2014-05-09,Mt. Baw Baw,6.6,1.5,0.0,79.28571428571429,79.28571428571429
2014-05-09,Selwyn,9.5,1.8,0.0,148.71428571428572,148.71428571428572
2014-05-09,Mt. Stirling,4.8,-0.4,0.0,8.571428571428571,8.571428571428571
2014-05-09,Charlotte Pass,6.0,-5.3,0.0,58.285714285714285,58.285714285714285
2014-05-10,Perisher,5.7,2.9,0.0,1052.857142857143,1052.857142857143
2014-05-10,Thredbo,3.5,1.4,0.0,790.7142857142857,790.7142857142857
2014-05-10,Mt. Buller,4.7,2.3,3.0,1185.142857142857,1185.142857142857
2014-05-10,Falls Creek,4.5,2.5,1.8,398.57142857142856,398.57142857142856
2014-05-10,Mt. Hotham,3.6,1.6,4.4,497.57142857142856,497.57142857142856
2014-05-10,Mt. Baw Baw,5.6,3.9,3.8,79.28571428571429,79.28571428571429
2014-05-10,Selwyn,6.1,4.8,0.0,148.71428571428572,148.71428571428572
2014-05-10,Mt. Stirling,4.7,2.3,3.0,8.571428571428571,8.571428571428571
2014-05-10,Charlotte Pass,4.6,2.15,0.0,58.285714285714285,58.285714285714285
2014-05-11,Perisher,9.7,0.6,28.4,1052.857142857143,1052.857142857143
2014-05-11,Thredbo,7.1,0.7,32.0,790.7142857142857,790.7142857142857
2014-05-11,Mt. Buller,7.8,1.8,18.8,1185.142857142857,1185.142857142857
2014-05-11,Falls Creek,8.4,0.8,17.0,398.57142857142856,398.57142857142856
2014-05-11,Mt. Hotham,7.8,0.8,29.8,497.57142857142856,497.57142857142856
2014-05-11,Mt. Baw Baw,6.3,2.3,13.2,79.28571428571429,79.28571428571429
2014-05-11,Selwyn,9.7,5.0,14.8,148.71428571428572,148.71428571428572
2014-05-11,Mt. Stirling,7.8,1.8,18.8,8.571428571428571,8.571428571428571
2014-05-11,Charlotte Pass,8.399999999999999,0.6499999999999999,30.2,58.285714285714285,58.285714285714285
2014-05-12,Perisher,12.3,-4.7,0.0,1052.857142857143,1052.857142857143
2014-05-12,Thredbo,9.4,-2.7,0.0,790.7142857142857,790.7142857142857
2014-05-12,Mt. Buller,10.1,1.5,0.2,1185.142857142857,1185.142857142857
2014-05-12,Falls Creek,10.0,1.4,0.0,398.57142857142856,398.57142857142856
2014-05-12,Mt. Hotham,8.7,0.7,0.0,497.57142857142856,497.57142857142856
2014-05-12,Mt. Baw Baw,10.4,1.0,0.0,79.28571428571429,79.28571428571429
2014-05-12,Selwyn,11.6,4.2,0.0,148.71428571428572,148.71428571428572
2014-05-12,Mt. Stirling,10.1,1.5,0.2,8.571428571428571,8.571428571428571
2014-05-12,Charlotte Pass,10.850000000000001,-3.7,0.0,58.285714285714285,58.285714285714285
2014-05-13,Perisher,8.3,-4.0,0.0,1052.857142857143,1052.857142857143
2014-05-13,Thredbo,8.3,-2.1,0.0,790.7142857142857,790.7142857142857
2014-05-13,Mt. Buller,7.9,2.1,0.0,1185.142857142857,1185.142857142857
2014-05-13,Falls Creek,6.6,2.6,0.0,398.57142857142856,398.57142857142856
2014-05-13,Mt. Hotham,4.9,1.5,0.0,497.57142857142856,497.57142857142856
2014-05-13,Mt. Baw Baw,9.4,4.1,0.0,79.28571428571429,79.28571428571429
2014-05-13,Selwyn,9.9,4.2,0.0,148.71428571428572,148.71428571428572
2014-05-13,Mt. Stirling,7.9,2.1,0.0,8.571428571428571,8.571428571428571
2014-05-13,Charlotte Pass,8.3,-3.05,0.0,58.285714285714285,58.285714285714285
2014-05-14,Perisher,8.3,-3.5,0.0,1052.857142857143,1052.857142857143
2014-05-14,Thredbo,7.2,-2.1,0.0,790.7142857142857,790.7142857142857
2014-05-14,Mt. Buller,8.1,1.5,0.0,1185.142857142857,1185.142857142857
2014-05-14,Falls Creek,6.9,1.8,0.0,398.57142857142856,398.57142857142856
2014-05-14,Mt. Hotham,4.7,0.5,0.4,497.57142857142856,497.57142857142856
2014-05-14,Mt. Baw Baw,9.2,2.9,0.0,79.28571428571429,79.28571428571429
2014-05-14,Selwyn,10.3,3.9,0.0,148.71428571428572,148.71428571428572
2014-05-14,Mt. Stirling,8.1,1.5,0.0,8.571428571428571,8.571428571428571
2014-05-14,Charlotte Pass,7.75,-2.8,0.0,58.285714285714285,58.285714285714285
2014-05-15,Thredbo,6.1,1.7,0.0,790.7142857142857,790.7142857142857
2014-05-15,Mt. Buller,7.6,4.7,0.0,1185.142857142857,1185.142857142857
2014-05-15,Falls Creek,7.2,3.6,0.0,398.57142857142856,398.57142857142856
2014-05-15,Mt. Hotham,6.3,2.5,0.2,497.57142857142856,497.57142857142856
2014-05-15,Mt. Baw Baw,10.0,5.7,0.0,79.28571428571429,79.28571428571429
2014-05-15,Mt. Stirling,7.6,4.7,0.0,8.571428571428571,8.571428571428571
2014-05-15,Charlotte Pass,6.1,0.29999999999999993,0.0,58.285714285714285,58.285714285714285
2014-05-16,Thredbo,9.0,3.1,0.0,298.57142857142856,298.57142857142856
2014-05-16,Mt. Buller,10.2,5.2,0.0,283.85714285714283,283.85714285714283
2014-05-16,Falls Creek,10.2,3.8,0.0,203.57142857142858,203.57142857142858
2014-05-16,Mt. Hotham,8.6,2.9,0.2,179.0,179.0
2014-05-16,Mt. Baw Baw,10.7,6.1,0.0,114.85714285714286,114.85714285714286
2014-05-16,Selwyn,12.6,5.7,0.0,54.714285714285715,54.714285714285715
2014-05-16,Mt. Stirling,10.2,5.2,0.0,6.0,6.0
2014-05-16,Charlotte Pass,9.0,3.1,0.0,21.571428571428573,21.571428571428573
2014-05-17,Thredbo,7.1,1.0,0.0,298.57142857142856,298.57142857142856
2014-05-17,Mt. Buller,10.6,4.9,0.0,283.85714285714283,283.85714285714283
2014-05-17,Falls Creek,9.1,4.9,0.0,203.57142857142858,203.57142857142858
2014-05-17,Mt. Hotham,7.7,3.8,0.0,179.0,179.0
2014-05-17,Mt. Baw Baw,9.9,7.0,0.0,114.85714285714286,114.85714285714286
2014-05-17,Selwyn,11.4,6.0,0.0,54.714285714285715,54.714285714285715
2014-05-17,Mt. Stirling,10.6,4.9,0.0,6.0,6.0
2014-05-17,Charlotte Pass,7.1,1.0,0.0,21.571428571428573,21.571428571428573
2014-05-18,Thredbo,7.6,3.7,0.0,298.57142857142856,298.57142857142856
2014-05-18,Mt. Buller,8.2,6.0,0.0,283.85714285714283,283.85714285714283
2014-05-18,Falls Creek,8.2,5.1,0.0,203.57142857142858,203.57142857142858
2014-05-18,Mt. Hotham,7.6,4.0,0.0,179.0,179.0
2014-05-18,Mt. Baw Baw,11.0,7.8,0.0,114.85714285714286,114.85714285714286
2014-05-18,Selwyn,10.9,6.1,0.0,54.714285714285715,54.714285714285715
2014-05-18,Mt. Stirling,8.2,6.0,0.0,6.0,6.0
2014-05-18,Charlotte Pass,7.6,3.7,0.0,21.571428571428573,21.571428571428573
2014-05-19,Thredbo,7.1,2.9,0.0,298.57142857142856,298.57142857142856
2014-05-19,Mt. Buller,9.0,4.9,0.4,283.85714285714283,283.85714285714283
2014-05-19,Falls Creek,7.9,4.3,0.0,203.57142857142858,203.57142857142858
2014-05-19,Mt. Hotham,6.2,3.6,0.0,179.0,179.0
2014-05-19,Mt. Baw Baw,11.1,6.6,0.0,114.85714285714286,114.85714285714286
2014-05-19,Selwyn,12.1,6.1,0.0,54.714285714285715,54.714285714285715
2014-05-19,Mt. Stirling,9.0,4.9,0.4,6.0,6.0
2014-05-19,Charlotte Pass,7.1,2.9,0.0,21.571428571428573,21.571428571428573
2014-05-20,Thredbo,5.5,4.2,9.0,298.57142857142856,298.57142857142856
2014-05-20,Mt. Buller,6.6,5.2,8.6,283.85714285714283,283.85714285714283
2014-05-20,Falls Creek,6.1,5.2,14.2,203.57142857142858,203.57142857142858
2014-05-20,Mt. Hotham,5.2,3.9,15.4,179.0,179.0
2014-05-20,Mt. Baw Baw,7.0,5.2,2.2,114.85714285714286,114.85714285714286
2014-05-20,Selwyn,8.2,6.6,2.8,54.714285714285715,54.714285714285715
2014-05-20,Mt. Stirling,6.6,5.2,8.6,6.0,6.0
2014-05-20,Charlotte Pass,5.5,4.2,9.0,21.571428571428573,21.571428571428573
2014-05-21,Thredbo,5.8,2.9,3.2,298.57142857142856,298.57142857142856
2014-05-21,Mt. Buller,6.8,4.5,13.4,283.85714285714283,283.85714285714283
2014-05-21,Falls Creek,6.7,4.5,1.0,203.57142857142858,203.57142857142858
2014-05-21,Mt. Hotham,5.6,3.3,16.0,179.0,179.0
2014-05-21,Mt. Baw Baw,9.2,3.6,4.6,114.85714285714286,114.85714285714286
2014-05-21,Selwyn,9.9,6.2,2.4,54.714285714285715,54.714285714285715
2014-05-21,Mt. Stirling,6.8,4.5,13.4,6.0,6.0
2014-05-21,Charlotte Pass,5.8,2.9,3.2,21.571428571428573,21.571428571428573
2014-05-22,Thredbo,5.9,3.9,0.0,298.57142857142856,298.57142857142856
2014-05-22,Mt. Buller,8.0,5.4,2.8,283.85714285714283,283.85714285714283
2014-05-22,Falls Creek,7.1,5.1,0.8,203.57142857142858,203.57142857142858
2014-05-22,Mt. Hotham,6.3,4.1,3.4,179.0,179.0
2014-05-22,Mt. Baw Baw,8.4,5.0,0.4,114.85714285714286,114.85714285714286
2014-05-22,Selwyn,10.0,6.9,0.0,54.714285714285715,54.714285714285715
2014-05-22,Mt. Stirling,8.0,5.4,2.8,6.0,6.0
2014-05-22,Charlotte Pass,5.9,3.9,0.0,21.571428571428573,21.571428571428573
2014-05-23,Perisher,6.9,6.1,1.6,607.8571428571429,607.8571428571429
2014-05-23,Thredbo,5.2,4.5,3.0,459.42857142857144,459.42857142857144
2014-05-23,Mt. Buller,6.9,5.7,7.4,344.7142857142857,344.7142857142857
2014-05-23,Falls Creek,6.2,5.3,8.8,300.14285714285717,300.14285714285717
2014-05-23,Mt. Hotham,5.2,4.5,9.8,427.42857142857144,427.42857142857144
2014-05-23,Mt. Baw Baw,7.3,6.6,20.2,141.85714285714286,141.85714285714286
2014-05-23,Selwyn,9.3,8.0,0.0,85.28571428571429,85.28571428571429
2014-05-23,Mt. Stirling,6.9,5.7,7.4,4.285714285714286,4.285714285714286
2014-05-23,Charlotte Pass,6.050000000000001,5.3,2.3,32.857142857142854,32.857142857142854
2014-05-24,Perisher,8.0,4.2,17.2,607.8571428571429,607.8571428571429
2014-05-24,Thredbo,5.6,1.9,18.8,459.42857142857144,459.42857142857144
2014-05-24,Mt. Buller,8.0,1.4,33.8,344.7142857142857,344.7142857142857
2014-05-24,Falls Creek,7.6,1.7,22.8,300.14285714285717,300.14285714285717
2014-05-24,Mt. Hotham,5.9,0.9,33.2,427.42857142857144,427.42857142857144
2014-05-24,Mt. Baw Baw,6.7,1.3,6.8,141.85714285714286,141.85714285714286
2014-05-24,Selwyn,9.5,4.9,8.6,85.28571428571429,85.28571428571429
