Year,Week,mountain,max,min,rainfall,visitors
2014,1,Charlotte Pass,5.521428571428571,-1.792857142857143,7.328571428571428,408
2014,1,Falls Creek,4.6,-0.3,3.4,2790
2014,1,Mt. Baw Baw,4.957142857142857,1.1,3.4857142857142853,555
2014,1,Mt. Buller,4.666666666666667,0.08333333333333336,2.3666666666666667,8296
2014,1,Mt. Hotham,3.4571428571428577,-1.1428571428571428,6.0,3483
2014,1,Mt. Stirling,4.666666666666667,0.08333333333333336,2.3666666666666667,60
2014,1,Perisher,6.328571428571428,-1.5857142857142856,8.857142857142858,7370
2014,1,Selwyn,6.828571428571428,1.5714285714285714,4.171428571428572,1041
2014,1,Thredbo,4.714285714285714,-2.0,5.8,5535
2014,2,Charlotte Pass,3.957142857142857,-1.7714285714285716,1.5571428571428572,151
2014,2,Falls Creek,4.414285714285714,-0.2857142857142857,1.0857142857142856,1425
2014,2,Mt. Baw Baw,5.485714285714286,0.8142857142857143,3.0,804
2014,2,Mt. Buller,4.8500000000000005,-0.3,1.2,1987
2014,2,Mt. Hotham,3.0,-1.2571428571428573,1.8571428571428572,1253
2014,2,Mt. Stirling,4.8500000000000005,-0.3,1.2,42
2014,2,Perisher,5.257142857142857,-1.8571428571428572,1.9714285714285713,2751
2014,2,Selwyn,6.714285714285714,1.5285714285714285,2.0571428571428574,383
2014,2,Thredbo,2.6571428571428575,-1.6857142857142857,1.1428571428571428,2090
2014,3,Charlotte Pass,-0.4,-3.6357142857142857,3.9714285714285715,230
2014,3,Falls Creek,0.09999999999999999,-2.8285714285714287,9.942857142857141,2101
2014,3,Mt. Baw Baw,1.3166666666666667,-1.8833333333333335,12.733333333333334,993
2014,3,Mt. Buller,0.16666666666666666,-2.6666666666666665,10.566666666666666,2413
2014,3,Mt. Hotham,-1.1333333333333335,-3.65,3.466666666666667,2992
2014,3,Mt. Stirling,0.16666666666666666,-2.6666666666666665,10.566666666666666,30
2014,3,Perisher,0.925,-1.7,12.6,4255
2014,3,Selwyn,1.6714285714285713,-0.8571428571428571,15.571428571428571,597
2014,3,Thredbo,-1.0285714285714287,-4.114285714285715,0.6,3216
2014,4,Charlotte Pass,1.0999999999999999,-3.3214285714285716,5.785714285714286,1134
2014,4,Falls Creek,1.3857142857142857,-2.685714285714286,3.457142857142857,9544
2014,4,Mt. Baw Baw,2.5285714285714285,-0.9571428571428572,11.714285714285714,2976
2014,4,Mt. Buller,0.9571428571428572,-1.8571428571428572,11.428571428571429,18831
2014,4,Mt. Hotham,-0.9857142857142858,-3.4714285714285715,0.08571428571428572,9680
2014,4,Mt. Stirling,0.9571428571428572,-1.8571428571428572,11.428571428571429,165
2014,4,Perisher,2.9428571428571426,-2.457142857142857,7.685714285714285,20265
2014,4,Selwyn,3.142857142857143,-0.7571428571428571,8.6,2877
2014,4,Thredbo,-1.0,-4.016666666666667,0.06666666666666667,15497
2014,5,Charlotte Pass,-0.24999999999999997,-4.471428571428571,3.0,3403
2014,5,Falls Creek,-0.7285714285714286,-3.7571428571428567,1.942857142857143,26211
2014,5,Mt. Baw Baw,0.6857142857142857,-2.257142857142857,11.799999999999999,11112
2014,5,Mt. Buller,-0.2857142857142857,-3.4,10.200000000000001,49217
2014,5,Mt. Hotham,-1.8428571428571427,-4.0,0.4571428571428572,29628
2014,5,Mt. Stirling,-0.2857142857142857,-3.4,10.200000000000001,645
2014,5,Perisher,1.1857142857142857,-3.757142857142857,5.571428571428571,61339
2014,5,Selwyn,1.2714285714285716,-2.257142857142857,6.314285714285715,8588
2014,5,Thredbo,-1.6857142857142857,-5.185714285714285,0.42857142857142855,46546
